Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_II sim,Pugnido_II data,Pugnido_II error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
10,540,1163,0.5356835769561479,1,25,0.96,75,3461,0.9783299624386016,11,291,0.9621993127147767,90,0,0.0,127,0,0.0,458,482,0.049792531120331995,0,0,0.0,135,164,0.17682926829268297,0,0,0.0,0,0,0.0,0,0,0.0,0,789,1.0,0,150,1.0,0,63,1.0,0,0,0.0,0,800,1.0,0,25,1.0,0,3,1.0,0,136,1.0,0.8671875,7552,7552,7552,1437,0
11,611,1280,0.52265625,1,28,0.9642857142857143,96,3807,0.9747832939322301,14,321,0.956386292834891,106,0,0.0,155,0,0.0,507,530,0.04339622641509433,0,0,0.0,154,180,0.1444444444444445,0,0,0.0,0,0,0.0,0,0,0.0,0,868,1.0,0,153,1.0,0,79,1.0,0,0,0.0,0,803,1.0,0,25,1.0,0,4,1.0,1,153,0.9934640522875817,0.8635645729558984,8231,8231,8231,1645,0
12,703,1396,0.4964183381088825,1,30,0.9666666666666667,113,4153,0.9727907536720443,18,350,0.9485714285714286,129,0,0.0,176,0,0.0,578,579,0.0017271157167529916,0,0,0.0,183,196,0.06632653061224492,0,0,0.0,0,0,0.0,0,0,0.0,0,947,1.0,0,156,1.0,1,95,0.9894736842105263,0,0,0.0,0,806,1.0,0,25,1.0,0,4,1.0,1,170,0.9941176470588236,0.8548332771977096,8907,8907,8907,1903,0
13,790,1512,0.47751322751322756,1,33,0.9696969696969697,127,4500,0.9717777777777777,20,379,0.9472295514511874,148,0,0.0,201,0,0.0,648,627,0.03349282296650724,0,0,0.0,212,213,0.0046948356807511304,0,0,0.0,0,0,0.0,0,0,0.0,0,1026,1.0,0,159,1.0,1,111,0.990990990990991,0,0,0.0,0,810,1.0,1,25,0.96,0,5,1.0,2,187,0.9893048128342246,0.8528215291540628,9587,9587,9587,2151,0
14,882,1629,0.45856353591160226,1,36,0.9722222222222222,148,4846,0.9694593479158069,25,408,0.9387254901960784,187,0,0.0,229,0,0.0,728,675,0.07851851851851843,0,0,0.0,238,229,0.0393013100436681,0,0,0.0,0,0,0.0,0,0,0.0,0,1105,1.0,0,163,1.0,2,127,0.984251968503937,0,0,0.0,0,813,1.0,1,25,0.96,0,6,1.0,2,204,0.9901960784313726,0.855152932008572,10266,10266,10266,2443,0
15,987,1745,0.43438395415472775,1,36,0.9722222222222222,165,5192,0.9682203389830508,29,437,0.9336384439359268,222,0,0.0,252,0,0.0,804,723,0.11203319502074693,0,0,0.0,272,246,0.10569105691056913,0,0,0.0,0,0,0.0,0,0,0.0,0,1156,1.0,0,166,1.0,3,143,0.9790209790209791,0,0,0.0,0,816,1.0,2,25,0.92,0,7,1.0,3,221,0.9864253393665159,0.855401814349858,10913,10913,10913,2740,0
16,1084,1861,0.41751746372917786,1,36,0.9722222222222222,198,5538,0.9642470205850487,35,466,0.924892703862661,249,0,0.0,290,0,0.0,876,772,0.13471502590673579,0,0,0.0,302,262,0.15267175572519087,0,0,0.0,0,0,0.0,0,0,0.0,0,1208,1.0,0,169,1.0,6,159,0.9622641509433962,0,0,0.0,0,819,1.0,5,26,0.8076923076923077,0,7,1.0,3,238,0.9873949579831933,0.8544243577545195,11561,11561,11561,3049,0
17,1174,1978,0.40647118301314455,1,36,0.9722222222222222,215,5884,0.9634602311352821,42,496,0.9153225806451613,292,0,0.0,314,0,0.0,953,820,0.16219512195121943,0,0,0.0,330,278,0.18705035971223016,0,0,0.0,0,0,0.0,0,0,0.0,0,1260,1.0,0,172,1.0,10,175,0.9428571428571428,3,0,0.0,0,822,1.0,6,26,0.7692307692307692,0,8,1.0,5,255,0.9803921568627451,0.8561015561015561,12210,12210,12210,3345,0
18,1262,2094,0.39732569245463223,1,36,0.9722222222222222,246,6230,0.960513643659711,47,525,0.9104761904761904,317,0,0.0,342,0,0.0,1055,868,0.21543778801843327,0,0,0.0,366,295,0.2406779661016949,0,0,0.0,2,0,0.0,0,0,0.0,0,1312,1.0,0,175,1.0,12,191,0.93717277486911,3,0,0.0,0,826,1.0,9,26,0.6538461538461539,0,9,1.0,5,272,0.9816176470588235,0.858231588770511,12859,12859,12859,3667,0
19,1371,2211,0.3799185888738128,1,36,0.9722222222222222,275,6576,0.9581812652068127,54,554,0.9025270758122743,352,0,0.0,368,0,0.0,1126,916,0.22925764192139741,0,0,0.0,391,311,0.257234726688103,0,0,0.0,2,0,0.0,0,0,0.0,0,1364,1.0,0,179,1.0,16,207,0.9227053140096618,3,0,0.0,0,829,1.0,10,26,0.6153846153846154,0,10,1.0,7,289,0.9757785467128027,0.8559372223867338,13508,13508,13508,3976,0
