Day,Date,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Pugnido_two sim,Pugnido_two data,Pugnido_two error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
10,2016-06-11,588,1163.0,0.4944110060189166,0,25.0,1.0,87,3461.0,0.9748627564287778,19,291.0,0.9347079037800688,83,0.0,0.0,121,0.0,0.0,426,482.0,0.1161825726141079,0,0.0,0.0,134,164.0,0.1829268292682927,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,789.0,1.0,0,150.0,1.0,0,63.0,1.0,0,0.0,0.0,0,800.0,1.0,0,25.0,1.0,0,3.0,1.0,0,136.0,1.0,0.8609639830508474,7552,7552,7552,1458,0
11,2016-06-12,697,1280.0,0.45546875,0,28.0,1.0,102,3807.0,0.9732072498029944,24,321.0,0.9252336448598132,98,0.0,0.0,144,0.0,0.0,504,530.0,0.0490566037735848,0,0.0,0.0,160,180.0,0.1111111111111111,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,868.0,1.0,0,153.0,1.0,1,79.0,0.9873417721518988,2,0.0,0.0,0,803.0,1.0,0,25.0,1.0,0,4.0,1.0,0,153.0,1.0,0.8488640505406391,8231,8231,8231,1732,0
12,2016-06-13,775,1396.0,0.4448424068767909,0,30.0,1.0,125,4153.0,0.9699012761858896,28,350.0,0.92,124,0.0,0.0,166,0.0,0.0,582,579.0,0.005181347150259,0,0.0,0.0,180,196.0,0.0816326530612244,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,947.0,1.0,0,156.0,1.0,1,95.0,0.9894736842105264,2,0.0,0.0,0,806.0,1.0,0,25.0,1.0,0,4.0,1.0,0,170.0,1.0,0.8436061524643539,8907,8907,8907,1983,0
13,2016-06-14,870,1512.0,0.4246031746031746,0,33.0,1.0,134,4500.0,0.9702222222222222,29,379.0,0.9234828496042216,151,0.0,0.0,197,0.0,0.0,658,627.0,0.0494417862838916,0,0.0,0.0,208,213.0,0.0234741784037558,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1026.0,1.0,0,159.0,1.0,1,111.0,0.990990990990991,2,0.0,0.0,0,810.0,1.0,1,25.0,0.96,0,5.0,1.0,0,187.0,1.0,0.8446855116303328,9587,9587,9587,2251,0
14,2016-06-15,946,1629.0,0.4192756292203806,0,36.0,1.0,160,4846.0,0.9669830788278992,36,408.0,0.9117647058823528,178,0.0,0.0,216,0.0,0.0,748,675.0,0.1081481481481481,0,0.0,0.0,237,229.0,0.0349344978165939,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1105.0,1.0,0,163.0,1.0,1,127.0,0.9921259842519684,2,0.0,0.0,0,813.0,1.0,2,25.0,0.92,0,6.0,1.0,0,204.0,1.0,0.8468731735827002,10266,10266,10266,2526,0
15,2016-06-16,1032,1745.0,0.4085959885386819,0,36.0,1.0,188,5192.0,0.9637904468412944,39,437.0,0.9107551487414188,207,0.0,0.0,240,0.0,0.0,807,723.0,0.1161825726141079,0,0.0,0.0,266,246.0,0.08130081300813,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,1156.0,1.0,0,166.0,1.0,3,143.0,0.9790209790209792,3,0.0,0.0,0,816.0,1.0,4,25.0,0.84,0,7.0,1.0,1,221.0,0.995475113122172,0.8459635297351782,10913,10913,10913,2791,0
16,2016-06-17,1130,1861.0,0.3927995701235894,0,36.0,1.0,211,5538.0,0.9618996027446732,42,466.0,0.9098712446351932,244,0.0,0.0,273,0.0,0.0,875,772.0,0.133419689119171,0,0.0,0.0,296,262.0,0.1297709923664123,0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,1208.0,1.0,0,169.0,1.0,4,159.0,0.9748427672955976,3,0.0,0.0,0,819.0,1.0,4,26.0,0.8461538461538461,0,7.0,1.0,2,238.0,0.9915966386554622,0.8470720525906064,11561,11561,11561,3086,0
17,2016-06-18,1218,1978.0,0.38422649140546,0,36.0,1.0,241,5884.0,0.9590414683888512,49,496.0,0.9012096774193548,279,0.0,0.0,304,0.0,0.0,954,820.0,0.1634146341463414,0,0.0,0.0,340,278.0,0.2230215827338129,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,1260.0,1.0,0,172.0,1.0,5,175.0,0.9714285714285714,3,0.0,0.0,1,822.0,0.9987834549878344,4,26.0,0.8461538461538461,0,8.0,1.0,3,255.0,0.9882352941176472,0.8497952497952498,12210,12210,12210,3404,0
18,2016-06-19,1326,2094.0,0.3667621776504298,0,36.0,1.0,262,6230.0,0.9579454253611556,54,525.0,0.8971428571428571,319,0.0,0.0,333,0.0,0.0,1024,868.0,0.1797235023041474,0,0.0,0.0,373,295.0,0.264406779661017,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,1312.0,1.0,0,175.0,1.0,7,191.0,0.9633507853403142,5,0.0,0.0,1,826.0,0.9987893462469734,7,26.0,0.7307692307692308,0,9.0,1.0,4,272.0,0.9852941176470588,0.8499105684734427,12859,12859,12859,3718,0
19,2016-06-20,1429,2211.0,0.3536861148801448,0,36.0,1.0,303,6576.0,0.9539233576642336,62,554.0,0.8880866425992779,355,0.0,0.0,354,0.0,0.0,1119,916.0,0.2216157205240174,0,0.0,0.0,404,311.0,0.2990353697749195,0,0.0,0.0,2,0.0,0.0,1,0.0,0.0,0,1364.0,1.0,0,179.0,1.0,8,207.0,0.961352657004831,7,0.0,0.0,1,829.0,0.9987937273823884,8,26.0,0.6923076923076923,0,10.0,1.0,7,289.0,0.9757785467128028,0.8497186852235712,13508,13508,13508,4060,0
