Day,Date,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
539,2015-06-07,27780,51522,0.4608,21241,18921,0.1226,3289,46081,0.9286,14096,46841,0.6991,46310,45981,0.0072,11008,33477,0.6712,22193,16383,0.3546,112482,107600,0.0454,14265,13471,0.0589,37008,35589,0.0399,0.3301592339840237,415866,399364,415866,309672,0
540,2015-06-08,27946,51533,0.4577,21237,18989,0.1184,3360,46081,0.9271,14283,46863,0.6952,46313,45987,0.0071,11104,33496,0.6685,22188,16544,0.3412,112504,107682,0.0448,14269,13498,0.0571,37008,35606,0.0394,0.3278882672438437,416279,400766,416279,310212,0
541,2015-06-09,28169,51543,0.4535,21237,19056,0.1145,3423,46081,0.9257,14493,46884,0.6909,46311,45993,0.0069,11190,33516,0.6661,22186,16706,0.328,112485,107765,0.0438,14257,13525,0.0541,37006,35623,0.0388,0.3253314198496731,416692,401964,416692,310757,0
542,2015-06-10,28403,51553,0.4491,21250,19083,0.1136,3500,46081,0.924,14672,46905,0.6872,46320,46000,0.007,11281,33535,0.6636,22173,16868,0.3145,112481,107848,0.043,14246,13552,0.0512,37016,35640,0.0386,0.3230024096963303,417065,403034,417065,311342,0
543,2015-06-11,28632,51564,0.4447,21249,19110,0.1119,3558,46081,0.9228,14861,46927,0.6833,46317,46011,0.0067,11360,33555,0.6615,22158,17030,0.3011,112478,107931,0.0421,14232,13579,0.0481,37020,35657,0.0382,0.3206458335828672,417445,404030,417445,311865,0
544,2015-06-12,28861,51574,0.4404,21243,19137,0.11,3615,46081,0.9216,15007,46948,0.6803,46327,46022,0.0066,11440,33574,0.6593,22155,17192,0.2887,112494,108017,0.0414,14231,13583,0.0477,37010,35668,0.0376,0.3185645626095032,417796,404919,417796,312383,0
545,2015-06-13,29080,51585,0.4363,21240,19164,0.1083,3680,46081,0.9201,15154,46969,0.6774,46325,46034,0.0063,11503,33594,0.6576,22156,17354,0.2767,112491,108104,0.0406,14245,13587,0.0484,37019,35680,0.0375,0.3165475712181216,418152,405707,418152,312893,0
546,2015-06-14,29293,51595,0.4323,21242,19191,0.1069,3762,46081,0.9184,15341,46991,0.6735,46312,46045,0.0058,11585,33613,0.6553,22169,17515,0.2657,112497,108191,0.0398,14271,13591,0.05,37024,35692,0.0373,0.3144263509396542,418505,406533,418505,313496,0
547,2015-06-15,29508,51605,0.4282,21238,19217,0.1052,3835,46081,0.9168,15538,47012,0.6695,46317,46057,0.0056,11667,33633,0.6531,22178,17677,0.2546,112490,108277,0.0389,14259,13595,0.0488,37019,35704,0.0368,0.3121750091916592,418858,407304,418858,314049,0
548,2015-06-16,29731,51616,0.424,21239,19244,0.1037,3905,46081,0.9153,15703,47034,0.6661,46311,46073,0.0052,11746,33652,0.651,22196,17839,0.2442,112494,108364,0.0381,14241,13599,0.0472,37015,35716,0.0364,0.3100033872591348,419218,408038,419218,314581,0
549,2015-06-17,29921,51626,0.4204,21239,19776,0.074,3990,46081,0.9134,15848,47033,0.663,46319,46089,0.005,11831,33672,0.6486,22196,18001,0.233,112508,108451,0.0374,14224,13603,0.0457,37019,35728,0.0361,0.3063348093129553,420060,408317,420060,315095,0
550,2015-06-18,30120,51636,0.4167,21238,20308,0.0458,4052,46081,0.9121,15975,47033,0.6603,46309,46105,0.0044,11901,33690,0.6467,22201,18216,0.2188,112518,108538,0.0367,14244,13607,0.0468,37005,35740,0.0354,0.3026292659055383,420954,408987,420954,315563,0
551,2015-06-19,30294,51647,0.4134,21238,20840,0.0191,4133,46081,0.9103,16121,47033,0.6572,46298,46121,0.0038,11981,33708,0.6446,22214,18432,0.2052,112537,108606,0.0362,14280,13631,0.0476,37028,35747,0.0358,0.2990617429109201,421846,409692,421846,316124,0
552,2015-06-20,30460,51657,0.4103,21247,20840,0.0195,4209,46081,0.9087,16244,47033,0.6546,46306,46137,0.0037,12060,33727,0.6424,22202,18647,0.1906,112538,108675,0.0355,14274,13656,0.0453,37019,35754,0.0354,0.2970154450305182,422207,410269,422207,316559,0
553,2015-06-21,30599,51668,0.4078,21242,20840,0.0193,4293,46081,0.9068,16372,47034,0.6519,46323,46154,0.0037,12149,33745,0.64,22200,18863,0.1769,112531,108744,0.0348,14261,13681,0.0424,37025,35761,0.0353,0.2949894810576211,422571,410705,422571,316995,0
554,2015-06-22,30764,51678,0.4047,21253,20840,0.0198,4358,46081,0.9054,16482,47034,0.6496,46316,46170,0.0032,12229,33764,0.6378,22202,19078,0.1637,112553,108812,0.0344,14240,13706,0.039,37022,35769,0.035,0.2930376514427851,422932,411325,422932,317419,0
555,2015-06-23,30952,51688,0.4012,21247,20840,0.0195,4428,46081,0.9039,16610,47035,0.6469,46298,46186,0.0024,12295,33782,0.636,22187,19294,0.1499,112532,108881,0.0335,14235,13731,0.0367,37026,35776,0.0349,0.2908569457634646,423294,411806,423294,317810,0
556,2015-06-24,31092,51699,0.3986,21252,20840,0.0198,4504,46081,0.9023,16736,47035,0.6442,46297,46202,0.0021,12367,33801,0.6341,22177,19509,0.1368,112534,108950,0.0329,14241,13756,0.0353,37035,35783,0.035,0.2889443321940442,423656,412299,423656,318235,0
557,2015-06-25,31225,51709,0.3961,21248,20840,0.0196,4561,46081,0.901,16834,47036,0.6421,46294,46218,0.0016,12441,33805,0.632,22176,19680,0.1268,112537,109019,0.0323,14256,13781,0.0345,37032,35791,0.0347,0.2872535144824983,423960,412768,423960,318604,0
558,2015-06-26,31360,51720,0.3937,21249,20840,0.0196,4639,46081,0.8993,16952,47037,0.6396,46312,46235,0.0017,12516,33810,0.6298,22175,19850,0.1171,112539,109095,0.0316,14263,13798,0.0337,37020,35832,0.0332,0.2853866857727352,424298,413207,424298,319025,0
559,2015-06-27,31497,51732,0.3912,21242,20840,0.0193,4692,46081,0.8982,17078,47037,0.6369,46308,46235,0.0016,12581,33815,0.6279,22165,20020,0.1071,112525,109171,0.0307,14254,13815,0.0318,37021,35873,0.032,0.28349649921459,424619,413728,424619,319363,0
560,2015-06-28,31621,51745,0.3889,21240,20840,0.0192,4757,46081,0.8968,17180,47038,0.6348,46308,46236,0.0016,12666,33820,0.6255,22160,20191,0.0975,112528,109247,0.03,14249,13832,0.0301,37012,35915,0.0305,0.2816740990010472,424945,414162,424945,319721,0
561,2015-06-29,31732,51758,0.3869,21250,20840,0.0197,4820,46081,0.8954,17286,47038,0.6325,46330,46236,0.002,12747,33825,0.6231,22147,20361,0.0877,112553,109323,0.0295,14237,13849,0.028,37026,35956,0.0298,0.280047593629414,425267,414570,425267,320128,0
562,2015-06-30,31862,51770,0.3845,21250,20840,0.0197,4891,46081,0.8939,17391,47039,0.6303,46339,46237,0.0022,12817,33830,0.6211,22160,20532,0.0793,112537,109400,0.0287,14230,13867,0.0262,37028,35998,0.0286,0.2782675507643435,425594,414954,425594,320505,0
563,2015-07-01,32004,51783,0.382,21248,20924,0.0155,4950,46081,0.8926,17494,47039,0.6281,46336,46239,0.0021,12869,33835,0.6197,22157,20702,0.0703,112527,109482,0.0278,14235,13881,0.0255,37035,36040,0.0276,0.2762660619803477,426006,415441,426006,320855,0
564,2015-07-02,32157,51796,0.3792,21247,21008,0.0114,4997,46081,0.8916,17588,47040,0.6261,46335,46242,0.002,12918,33840,0.6183,22168,20872,0.0621,112552,109564,0.0273,14261,13895,0.0263,37032,36082,0.0263,0.2744453824867501,426420,415794,426420,321255,0
565,2015-07-03,32295,51809,0.3767,21239,21093,0.0069,5045,46081,0.8905,17674,47041,0.6243,46325,46245,0.0017,12962,33845,0.617,22172,21043,0.0537,112559,109647,0.0266,14282,13909,0.0268,37049,36124,0.0256,0.2726216330824179,426837,416370,426837,321602,0
566,2015-07-04,32420,51840,0.3746,21244,21093,0.0072,5097,46081,0.8894,17769,47041,0.6223,46327,46248,0.0017,13026,33850,0.6152,22189,21213,0.046,112554,109729,0.0257,14271,13923,0.025,37036,36166,0.0241,0.2709581819543803,427184,416831,427184,321933,0
567,2015-07-05,32552,51871,0.3724,21239,21093,0.0069,5165,46081,0.8879,17854,47041,0.6205,46330,46251,0.0017,13088,33855,0.6134,22204,21384,0.0383,112556,109812,0.025,14255,13937,0.0228,37035,36209,0.0228,0.2692698124593599,427534,417283,427534,322278,0
568,2015-07-06,32681,51902,0.3703,21233,21093,0.0066,5219,46081,0.8867,17949,47041,0.6184,46321,46254,0.0014,13149,33865,0.6117,22219,21430,0.0368,112578,109894,0.0244,14241,13951,0.0208,37037,36251,0.0217,0.2680158592862386,427762,417732,427762,322627,0
569,2015-07-07,32826,51933,0.3679,21238,21093,0.0069,5281,46081,0.8854,18037,47041,0.6166,46342,46257,0.0018,13209,33875,0.6101,22232,21477,0.0352,112583,109977,0.0237,14230,13965,0.019,37030,36293,0.0203,0.2667573225667769,427992,418156,427992,323008,0
570,2015-07-08,32960,51964,0.3657,21250,21093,0.0074,5341,46081,0.8841,18106,47100,0.6156,46340,46260,0.0017,13264,33885,0.6086,22231,21523,0.0329,112561,110059,0.0227,14235,13979,0.0183,37031,36335,0.0192,0.2656165723745502,428279,418515,428279,323319,0
571,2015-07-09,33058,51995,0.3642,21240,21093,0.007,5402,46081,0.8828,18194,47159,0.6142,46338,46263,0.0016,13326,33895,0.6068,22215,21570,0.0299,112575,110142,0.0221,14266,13993,0.0195,37030,36378,0.0179,0.2645431657446059,428569,418900,428569,323644,0
572,2015-07-10,33172,52026,0.3624,21244,21093,0.0072,5456,46081,0.8816,18277,47219,0.6129,46339,46265,0.0016,13385,33906,0.6052,22206,21616,0.0273,112545,110238,0.0209,14276,14002,0.0196,37023,36403,0.017,0.2633980725150344,428849,419171,428849,323923,0
573,2015-07-11,33273,52032,0.3605,21249,21101,0.007,5520,46081,0.8802,18373,47219,0.6109,46322,46268,0.0012,13444,33916,0.6036,22190,21663,0.0243,112577,110334,0.0203,14263,14011,0.018,37015,36429,0.0161,0.2620835605774564,429054,419516,429054,324226,0
574,2015-07-12,33401,52039,0.3582,21250,21110,0.0066,5570,46081,0.8791,18470,47219,0.6088,46329,46271,0.0013,13491,33926,0.6023,22182,21709,0.0218,112577,110430,0.0194,14252,14020,0.0165,37031,36455,0.0158,0.2608186180869403,429260,420031,429260,324553,0
575,2015-07-13,33519,52046,0.356,21255,21119,0.0064,5626,46081,0.8779,18583,47219,0.6065,46320,46274,0.001,13541,33936,0.601,22164,21756,0.0188,112588,110526,0.0187,14236,14030,0.0147,37033,36480,0.0152,0.2594471752195162,429467,420259,429467,324865,0
576,2015-07-14,33640,52053,0.3537,21244,21127,0.0055,5677,46081,0.8768,18680,47220,0.6044,46328,46277,0.0011,13597,33946,0.5995,22161,21802,0.0165,112580,110622,0.0177,14230,14039,0.0136,37036,36506,0.0145,0.2581311834813917,429673,420631,429673,325173,0
577,2015-07-15,33780,52059,0.3511,21238,21136,0.0048,5738,46081,0.8755,18748,47220,0.603,46343,46280,0.0014,13654,33957,0.5979,22160,21849,0.0142,112562,110718,0.0167,14248,14048,0.0142,37024,36532,0.0135,0.2568367916627896,429880,420426,429880,325495,0
578,2015-07-16,33889,52066,0.3491,21249,21145,0.0049,5801,46081,0.8741,18833,47220,0.6012,46336,46283,0.0011,13696,33957,0.5967,22136,21895,0.011,112568,110814,0.0158,14266,14058,0.0148,37018,36558,0.0126,0.2555937657675253,430077,420985,430077,325792,0
579,2015-07-17,33989,52073,0.3473,21248,21154,0.0044,5847,46081,0.8731,18921,47221,0.5993,46340,46286,0.0012,13753,33957,0.595,22140,21942,0.009,112544,110910,0.0147,14264,14067,0.014,37030,36583,0.0122,0.2543634986078638,430274,421325,430274,326076,0
580,2015-07-18,34108,52080,0.3451,21246,21168,0.0037,5882,46081,0.8724,19025,47222,0.5971,46332,46289,0.0009,13792,33957,0.5938,22149,21988,0.0073,112560,111006,0.014,14250,14076,0.0124,37041,36609,0.0118,0.2531500013938059,430476,421506,430476,326385,0
581,2015-07-19,34257,52086,0.3423,21234,21183,0.0024,5923,46081,0.8715,19112,47223,0.5953,46325,46291,0.0007,13829,33957,0.5927,22159,22035,0.0056,112556,111102,0.0131,14241,14085,0.0111,37032,36635,0.0108,0.2517936834479588,430678,421897,430678,326668,0
582,2015-07-20,34379,52093,0.34,21229,21198,0.0015,5968,46081,0.8705,19211,47225,0.5932,46321,46294,0.0006,13867,33957,0.5916,22161,22081,0.0036,112541,111198,0.0121,14237,14095,0.0101,37027,36661,0.01,0.2504624225137682,430883,422133,430883,326941,0
583,2015-07-21,34487,52100,0.3381,21230,21213,0.0008,6018,46081,0.8694,19288,47226,0.5916,46324,46297,0.0006,13904,33957,0.5905,22184,22128,0.0025,112557,111294,0.0113,14229,14104,0.0089,37032,36686,0.0094,0.2493725149970075,431086,422439,431086,327253,0
584,2015-07-22,34588,52107,0.3362,21241,21228,0.0006,6060,46081,0.8685,19374,47228,0.5898,46322,46300,0.0005,13950,33957,0.5892,22200,22174,0.0012,112548,111390,0.0104,14239,14113,0.0089,37030,36712,0.0087,0.2482413225439959,431290,422587,431290,327552,0
585,2015-07-23,34706,52113,0.334,21234,21243,0.0004,6115,46081,0.8673,19461,47229,0.5879,46333,46303,0.0006,14005,33957,0.5876,22207,22221,0.0006,112575,111486,0.0098,14277,14123,0.0109,37027,36738,0.0079,0.2472293936879771,431494,422867,431494,327940,0
586,2015-07-24,34847,52120,0.3314,21253,21258,0.0002,6154,46081,0.8665,19536,47231,0.5864,46329,46306,0.0005,14044,33961,0.5865,22215,22221,0.0003,112578,111582,0.0089,14280,14132,0.0105,37027,36764,0.0072,0.2461520284671127,431656,423157,431656,328263,0
587,2015-07-25,34980,52127,0.3289,21242,21172,0.0033,6200,46081,0.8655,19592,47245,0.5853,46336,46309,0.0006,14076,33965,0.5856,22224,22221,0.0001,112577,111678,0.008,14262,14141,0.0086,37025,36789,0.0064,0.2453535559426305,431728,423456,431728,328514,0
588,2015-07-26,35090,52134,0.3269,21234,21086,0.007,6255,46081,0.8643,19698,47259,0.5832,46338,46312,0.0006,14112,33969,0.5846,22226,22221,0.0002,112568,111774,0.0071,14244,14151,0.0066,37031,36815,0.0059,0.2444870565675934,431802,423658,431802,328796,0
589,2015-07-27,35184,52140,0.3252,21235,21000,0.0112,6306,46081,0.8632,19786,47273,0.5815,46340,46315,0.0005,14161,33973,0.5832,22217,22221,0.0002,112554,111870,0.0061,14231,14160,0.005,37043,36841,0.0055,0.2437076554735872,431874,423972,431874,329057,0
590,2015-07-28,35278,52147,0.3235,21231,20915,0.0151,6367,46081,0.8618,19878,47287,0.5796,46355,46327,0.0006,14197,33977,0.5822,22201,22221,0.0009,112551,111966,0.0052,14226,14169,0.004,37039,36867,0.0047,0.2429639987313552,431957,424179,431957,329323,0
591,2015-07-29,35402,52154,0.3212,21229,20829,0.0192,6410,46081,0.8609,19967,47302,0.5779,46357,46340,0.0004,14231,33981,0.5812,22191,22221,0.0014,112547,112062,0.0043,14245,14178,0.0047,37023,36892,0.0036,0.2421951671141561,432040,424261,432040,329602,0
592,2015-07-30,35509,52161,0.3192,21232,20743,0.0236,6445,46081,0.8601,20040,47316,0.5765,46342,46353,0.0002,14264,33992,0.5804,22169,22221,0.0023,112573,112158,0.0037,14285,14188,0.0068,37019,36918,0.0027,0.2417253101490057,432131,424408,432131,329878,0
593,2015-07-31,35610,52167,0.3174,21240,20658,0.0282,6482,46081,0.8593,20142,47330,0.5744,46338,46366,0.0006,14296,34003,0.5796,22158,22221,0.0028,112568,112254,0.0028,14284,14197,0.0061,37026,36944,0.0022,0.241096568653536,432221,424710,432221,330144,0
594,2015-08-01,35725,52174,0.3153,21239,20664,0.0278,6525,46088,0.8584,20205,47344,0.5732,46341,46379,0.0008,14338,34014,0.5785,22147,22221,0.0033,112554,112350,0.0018,14265,14206,0.0042,37033,36970,0.0017,0.2401424573899771,432410,424864,432410,330372,0
595,2015-08-02,35835,52181,0.3133,21244,20670,0.0278,6581,46095,0.8572,20281,47358,0.5718,46329,46392,0.0014,14379,34025,0.5774,22131,22221,0.0041,112563,112446,0.001,14253,14216,0.0026,37043,36995,0.0013,0.2392793325920771,432599,425117,432599,330639,0
596,2015-08-03,35922,52188,0.3117,21256,20676,0.0281,6621,46102,0.8564,20367,47373,0.5701,46327,46405,0.0017,14395,34036,0.5771,22129,22221,0.0041,112572,112542,0.0003,14231,14225,0.0004,37036,37021,0.0004,0.238441827310768,432789,425207,432789,330856,0
597,2015-08-04,36020,52194,0.3099,21241,20682,0.027,6663,46110,0.8555,20459,47387,0.5683,46326,46418,0.002,14416,34047,0.5766,22128,22221,0.0042,112592,112638,0.0004,14234,14234,0.0,37038,37047,0.0002,0.2378388740305512,432978,425407,432978,331117,0
598,2015-08-05,36137,52201,0.3077,21231,20688,0.0262,6712,46117,0.8545,20543,47401,0.5666,46330,46431,0.0022,14436,34059,0.5761,22125,22221,0.0043,112591,112734,0.0013,14246,14244,0.0001,37027,37073,0.0012,0.2375077625591859,433169,425400,433169,331378,0
599,2015-08-06,36238,52208,0.3059,21230,20694,0.0259,6759,46124,0.8535,20613,47415,0.5653,46320,46444,0.0027,14457,34059,0.5755,22131,22221,0.0041,112557,112734,0.0016,14266,14244,0.0015,37026,37073,0.0013,0.2371449807947998,433216,425686,433216,331597,0
600,2015-08-07,36332,52215,0.3042,21239,20700,0.026,6794,46131,0.8527,20698,47429,0.5636,46317,46457,0.003,14494,34059,0.5744,22146,22221,0.0034,112561,112734,0.0015,14260,14244,0.0011,37023,37073,0.0013,0.2365976323849486,433263,425808,433263,331864,0
601,2015-08-08,36440,52222,0.3022,21249,20707,0.0262,6831,46139,0.8519,20782,47444,0.562,46326,46457,0.0028,14532,34059,0.5733,22162,22221,0.0027,112544,112734,0.0017,14246,14244,0.0001,37033,37073,0.0011,0.2359635356565889,433300,425979,433300,332145,0
602,2015-08-09,36548,52222,0.3001,21253,20707,0.0264,6875,46139,0.851,20859,47444,0.5603,46339,46457,0.0025,14558,34059,0.5726,22182,22221,0.0018,112568,112734,0.0015,14233,14244,0.0008,37031,37073,0.0011,0.235278098315255,433300,426219,433300,332446,0
603,2015-08-10,36642,52222,0.2983,21245,20707,0.026,6903,46139,0.8504,20955,47444,0.5583,46331,46457,0.0027,14584,34059,0.5718,22201,22221,0.0009,112573,112734,0.0014,14225,14244,0.0013,37035,37073,0.001,0.2346688206785137,433300,426402,433300,332694,0
