Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
46,2,1,1.0,30,1,29.0,5,364,0.9863,17,136,0.875,8,10,0.2,0,7,1.0,26,1,25.0,1,1,0.0,3,1,2.0,1.0421455938697317,522,513,522,92,0
47,2,1,1.0,30,1,29.0,5,366,0.9863,17,137,0.8759,8,10,0.2,0,7,1.0,26,1,25.0,1,1,0.0,3,1,2.0,1.041904761904762,525,517,525,92,0
48,2,1,1.0,30,1,29.0,5,368,0.9864,17,137,0.8759,8,10,0.2,0,7,1.0,26,1,25.0,1,1,0.0,3,1,2.0,1.0417457305502846,527,519,527,92,0
49,2,1,1.0,30,1,29.0,5,370,0.9865,17,137,0.8759,8,10,0.2,1,7,0.8571,26,1,25.0,1,1,0.0,3,1,2.0,1.0396975425330812,529,518,529,93,0
50,2,1,1.0,30,1,29.0,5,372,0.9866,18,138,0.8696,8,10,0.2,1,7,0.8571,26,1,25.0,1,1,0.0,3,1,2.0,1.037593984962406,532,518,532,94,0
51,3,1,2.0,30,1,29.0,5,374,0.9866,18,138,0.8696,8,10,0.2,1,7,0.8571,26,1,25.0,1,1,0.0,3,1,2.0,1.0393258426966292,534,516,534,95,0
52,3,1,2.0,30,1,29.0,5,376,0.9867,18,139,0.8705,8,10,0.2,1,7,0.8571,26,1,25.0,1,1,0.0,3,1,2.0,1.0391061452513966,537,520,537,95,0
53,3,1,2.0,30,1,29.0,5,378,0.9868,18,139,0.8705,8,10,0.2,1,7,0.8571,27,1,26.0,1,1,0.0,3,1,2.0,1.0408163265306123,539,520,539,96,0
54,3,1,2.0,30,1,29.0,5,380,0.9868,18,139,0.8705,8,10,0.2,1,7,0.8571,29,1,28.0,1,1,0.0,3,1,2.0,1.044362292051756,541,522,541,98,0
55,6,1,5.0,30,1,29.0,5,382,0.9869,18,140,0.8714,8,10,0.2,1,7,0.8571,29,1,28.0,1,1,0.0,3,1,2.0,1.0496323529411764,544,532,544,101,0
56,6,1,5.0,30,1,29.0,5,384,0.987,18,140,0.8714,8,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0512820512820513,546,499,546,102,0
57,6,1,5.0,30,1,29.0,5,386,0.987,18,140,0.8714,9,10,0.1,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0492700729927007,548,499,548,103,0
58,6,1,5.0,31,1,30.0,5,388,0.9871,18,141,0.8723,9,10,0.1,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0508166969147006,551,504,551,104,0
59,6,1,5.0,31,1,30.0,5,390,0.9872,18,141,0.8723,10,10,0.0,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0488245931283906,553,501,553,105,0
60,6,1,5.0,31,1,30.0,5,392,0.9872,18,142,0.8732,11,10,0.1,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0503597122302157,556,535,556,106,0
61,7,1,6.0,31,1,30.0,5,394,0.9873,18,142,0.8732,11,10,0.1,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0519713261648747,558,536,558,107,0
62,7,1,6.0,31,1,30.0,5,395,0.9873,18,142,0.8732,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0536672629695885,559,536,559,108,0
63,8,1,7.0,31,1,30.0,5,397,0.9874,18,143,0.8741,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0551601423487544,562,540,562,109,0
64,7,1,6.0,31,1,30.0,5,399,0.9875,18,143,0.8741,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.053191489361702,564,540,564,108,0
65,7,1,6.0,31,1,30.0,5,401,0.9875,18,144,0.875,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.052910052910053,567,544,567,108,0
66,8,1,7.0,33,1,32.0,5,403,0.9876,18,144,0.875,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0579964850615113,569,548,569,111,0
67,8,1,7.0,33,1,32.0,5,405,0.9877,18,144,0.875,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0577933450087567,571,545,571,111,0
68,9,1,8.0,33,1,32.0,5,407,0.9877,18,145,0.8759,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0592334494773519,574,549,574,112,0
69,9,1,8.0,34,1,33.0,5,409,0.9878,18,145,0.8759,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.0607638888888888,576,545,576,113,0
70,9,1,8.0,34,1,33.0,5,410,0.9878,18,146,0.8767,12,10,0.2,1,7,0.8571,29,1,28.0,2,1,1.0,3,1,2.0,1.060553633217993,578,547,578,113,0
71,9,1,8.0,35,1,34.0,5,412,0.9879,18,146,0.8767,12,10,0.2,5,7,0.2857,29,1,28.0,3,1,2.0,3,1,2.0,1.056896551724138,580,553,580,119,0
72,9,1,8.0,35,1,34.0,5,413,0.9879,18,146,0.8767,12,10,0.2,5,7,0.2857,29,1,28.0,3,1,2.0,3,1,2.0,1.0567986230636832,581,559,581,119,0
