Day,Bahir_Dar sim,Bahir_Dar data,Bahir_Dar error,Gondar sim,Gondar data,Gondar error,Hamdayet sim,Hamdayet data,Hamdayet error,Lugdi sim,Lugdi data,Lugdi error,Abderafi sim,Abderafi data,Abderafi error,Wad_Al_Mahi sim,Wad_Al_Mahi data,Wad_Al_Mahi error,Sehra sim,Sehra data,Sehra error,Tsorona sim,Tsorona data,Tsorona error,Galafi sim,Galafi data,Galafi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
31,1,1,0.0,54,1,53.0,15,335,0.9552,14,125,0.888,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.06875,480,458,480,111,0
32,1,1,0.0,54,1,53.0,16,347,0.9539,14,127,0.8898,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0647773279352226,494,470,494,112,0
33,1,1,0.0,55,1,54.0,16,348,0.954,14,127,0.8898,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0666666666666667,495,479,495,113,0
34,1,1,0.0,55,1,54.0,16,349,0.9542,14,128,0.8906,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0663983903420524,497,488,497,113,0
35,1,1,0.0,56,1,55.0,16,350,0.9543,14,129,0.8915,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0681362725450902,499,485,499,114,0
36,1,1,0.0,55,1,54.0,16,351,0.9544,14,130,0.8923,5,8,0.375,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0658682634730539,501,484,501,113,0
37,2,1,1.0,55,1,54.0,16,352,0.9545,14,131,0.8931,5,9,0.4444,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0674603174603174,504,486,504,114,0
38,2,1,1.0,55,1,54.0,16,353,0.9547,14,131,0.8931,5,9,0.4444,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0673267326732674,505,491,505,114,0
39,2,1,1.0,55,1,54.0,16,354,0.9548,14,132,0.8939,5,9,0.4444,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0670611439842208,507,495,507,114,0
40,2,1,1.0,54,1,53.0,16,355,0.9549,14,133,0.8947,5,9,0.4444,0,7,1.0,18,1,17.0,3,1,2.0,1,1,0.0,1.0648330058939097,509,497,509,113,0
41,2,1,1.0,54,1,53.0,16,355,0.9549,14,134,0.8955,5,9,0.4444,0,7,1.0,18,1,17.0,4,1,3.0,1,1,0.0,1.0666666666666667,510,496,510,114,0
42,2,1,1.0,54,1,53.0,16,356,0.9551,14,135,0.8963,6,10,0.4,0,7,1.0,18,1,17.0,4,1,3.0,1,1,0.0,1.064327485380117,513,499,513,115,0
43,2,1,1.0,55,1,54.0,16,358,0.9553,14,135,0.8963,6,10,0.4,0,7,1.0,18,1,17.0,4,1,3.0,1,1,0.0,1.0660194174757283,515,501,515,116,0
